Código DANE,Departamento
91,Amazonas
5,Antioquia
81,Arauca
88,"Archipiélago de
San Andrés"
8,Atlántico
11,"Bogotá, D.C."
13,Bolívar
15,Boyacá
17,Caldas
18,Caquetá
85,Casanare
19,Cauca
20,Cesar
27,Chocó
23,Córdoba
25,Cundinamarca
94,Guainía
95,Guaviare
41,Huila
44,La Guajira
47,Magdalena
50,Meta
52,Nariño
54,Norte de Santander
86,Putumayo
63,Quindio
66,Risaralda
68,Santander
70,Sucre
73,Tolima
76,Valle del Cauca
97,Vaupés
99,Vichada
,Total Nacional
